8.500000000000000000e+01,1.515700000000000103e-01,1.592999999999999972e-02,1.518200000000000105e-01,1.328299999999999967e-02,5.655199999999999818e+02,2.386299999999999866e+00,-3.257599999999999819e-03,3.383099999999999996e-02,2.858600000000000030e+00
1.010000000000000000e+02,-1.500799999999999912e-01,2.646400000000000141e-02,-1.496000000000000107e-01,2.907900000000000068e-02,4.410800000000000000e+04,1.694199999999999875e+02,8.802499999999999769e-01,4.749399999999999622e+00,1.997800000000000011e+02
1.170000000000000000e+02,-1.369799999999999907e-01,6.680800000000000627e-02,-1.357899999999999940e-01,6.918799999999999950e-02,3.744900000000000000e+04,1.429199999999999875e+02,4.527400000000000091e+00,9.080500000000000682e+00,1.685999999999999943e+02
1.330000000000000000e+02,-1.132599999999999996e-01,1.019800000000000012e-01,-1.114600000000000035e-01,1.039400000000000046e-01,2.785100000000000000e+04,1.037600000000000051e+02,8.242499999999999716e+00,8.995100000000000762e+00,1.223100000000000023e+02
1.490000000000000000e+02,-8.075999999999999845e-02,1.292399999999999938e-01,-7.849200000000000621e-02,1.306299999999999961e-01,1.823100000000000000e+04,6.511799999999999500e+01,9.333000000000000185e+00,5.719299999999999606e+00,7.670799999999999841e+01
1.650000000000000000e+02,-4.200700000000000267e-02,1.464999999999999913e-01,-3.944399999999999989e-02,1.472100000000000075e-01,1.113300000000000000e+04,3.606700000000000017e+01,8.322300000000000253e+00,2.307999999999999829e+00,4.214000000000000057e+01
6.000000000000000000e+00,1.328299999999999967e-02,1.518200000000000105e-01,1.592999999999999972e-02,1.515700000000000103e-01,4.581699999999999818e+03,1.356700000000000017e+01,4.854800000000000004e+00,-4.674599999999999866e-01,1.610500000000000043e+01
2.200000000000000000e+01,5.461499999999999688e-02,1.422799999999999898e-01,5.709000000000000186e-02,1.413000000000000089e-01,2.092699999999999818e+03,5.599499999999999922e+00,2.533599999999999852e+00,-9.979999999999999982e-01,6.842900000000000205e+00
3.800000000000000000e+01,9.171700000000000685e-02,1.217099999999999987e-01,9.382699999999999374e-02,1.200900000000000023e-01,8.611299999999999955e+02,2.110199999999999854e+00,1.049500000000000099e+00,-8.053000000000000158e-01,2.711599999999999788e+00
5.400000000000000000e+01,1.217099999999999987e-01,9.171700000000000685e-02,1.232899999999999968e-01,8.957800000000000484e-02,3.944700000000000273e+02,1.078100000000000058e+00,3.003299999999999859e-01,-4.058700000000000085e-01,1.422199999999999909e+00
7.000000000000000000e+01,1.422799999999999898e-01,5.461499999999999688e-02,1.432100000000000040e-01,5.212399999999999672e-02,4.290699999999999932e+02,1.634800000000000031e+00,2.960300000000000084e-02,-7.917799999999999838e-02,2.022899999999999920e+00
8.600000000000000000e+01,1.518200000000000105e-01,1.328299999999999967e-02,1.520299999999999985e-01,1.063099999999999982e-02,5.700299999999999727e+02,2.400199999999999889e+00,-2.171100000000000026e-03,2.758700000000000041e-02,2.887300000000000200e+00
1.020000000000000000e+02,-1.496000000000000107e-01,2.907900000000000068e-02,-1.490700000000000081e-01,3.168599999999999889e-02,4.371700000000000000e+04,1.682800000000000011e+02,1.052300000000000013e+00,5.171999999999999709e+00,1.985000000000000000e+02
1.180000000000000000e+02,-1.357899999999999940e-01,6.918799999999999950e-02,-1.345600000000000129e-01,7.154699999999999949e-02,3.695300000000000000e+04,1.408799999999999955e+02,4.860199999999999854e+00,9.336399999999999366e+00,1.662299999999999898e+02
1.340000000000000000e+02,-1.114600000000000035e-01,1.039400000000000046e-01,-1.096300000000000052e-01,1.058700000000000058e-01,2.718100000000000000e+04,1.013499999999999943e+02,8.410199999999999676e+00,8.862500000000000711e+00,1.195300000000000011e+02
1.500000000000000000e+02,-7.849200000000000621e-02,1.306299999999999961e-01,-7.620000000000000384e-02,1.319799999999999862e-01,1.765300000000000000e+04,6.284599999999999653e+01,9.307299999999999685e+00,5.482400000000000162e+00,7.393099999999999739e+01
1.660000000000000000e+02,-3.944399999999999989e-02,1.472100000000000075e-01,-3.686899999999999900e-02,1.478700000000000014e-01,1.057800000000000000e+04,3.447299999999999898e+01,8.053399999999999892e+00,2.082800000000000207e+00,4.038700000000000045e+01
7.000000000000000000e+00,1.592999999999999972e-02,1.515700000000000103e-01,1.857299999999999923e-02,1.512600000000000056e-01,4.373000000000000000e+03,1.289300000000000068e+01,4.667699999999999960e+00,-5.318100000000000049e-01,1.530199999999999960e+01
2.300000000000000000e+01,5.709000000000000186e-02,1.413000000000000089e-01,5.954700000000000271e-02,1.402799999999999880e-01,1.965099999999999909e+03,5.273799999999999599e+00,2.396799999999999820e+00,-9.927700000000000413e-01,6.462299999999999933e+00
3.900000000000000000e+01,9.382699999999999374e-02,1.200900000000000023e-01,9.590799999999999326e-02,1.184400000000000036e-01,8.171399999999999864e+02,1.987300000000000066e+00,9.878599999999999604e-01,-7.857800000000000340e-01,2.571099999999999941e+00
5.500000000000000000e+01,1.232899999999999968e-01,8.957800000000000484e-02,1.248400000000000065e-01,8.741300000000000459e-02,3.825199999999999818e+02,1.081099999999999950e+00,2.771799999999999820e-01,-3.886000000000000010e-01,1.426500000000000101e+00
7.100000000000000000e+01,1.432100000000000040e-01,5.212399999999999672e-02,1.441000000000000059e-01,4.961700000000000138e-02,4.343000000000000114e+02,1.685000000000000053e+00,1.644999999999999934e-02,-4.645400000000000224e-02,2.082199999999999829e+00
8.700000000000000000e+01,1.520299999999999985e-01,1.063099999999999982e-02,1.521899999999999920e-01,7.976000000000000451e-03,5.883500000000000227e+02,2.450899999999999856e+00,-1.923400000000000023e-03,3.144799999999999679e-02,2.930400000000000116e+00
1.030000000000000000e+02,-1.490700000000000081e-01,3.168599999999999889e-02,-1.484900000000000109e-01,3.428300000000000097e-02,4.347500000000000000e+04,1.670200000000000102e+02,1.196499999999999897e+00,5.396799999999999820e+00,1.969699999999999989e+02
1.190000000000000000e+02,-1.345600000000000129e-01,7.154699999999999949e-02,-1.332899999999999918e-01,7.388500000000000623e-02,3.641500000000000000e+04,1.383499999999999943e+02,5.092699999999999783e+00,9.379599999999999937e+00,1.631200000000000045e+02
1.350000000000000000e+02,-1.096300000000000052e-01,1.058700000000000058e-01,-1.077599999999999947e-01,1.077599999999999947e-01,2.669700000000000000e+04,9.871099999999999852e+01,8.599000000000000199e+00,8.750400000000000844e+00,1.162199999999999989e+02
